Table 1.1.11. Real Gross Domestic Product: Percent Change From Quarter One Year Ago
Table 1.1.11. Real Gross Domestic Product: Percent Change From Quarter One Year Ago
"Last Revised on: April 27, 2023 - Next Release Date May 25, 2023"
34,"    Real disposable personal income",4.0,5.1,5.7,4.9,4.0,2.5,3.4,1.0,2.6,3.7,1.6,4.0,1.5,2.0,3.6,3.3,3.8,3.6,2.5,3.5,1.8,1.7,1.4,1.0,4.3,3.7,3.5,3.9,2.6,2.7,2.7,1.5,1.0,2.4,0.2,1.1,0.8,-0.6,0.2,-0.7,0.3,1.4,3.3,3.5,3.7,1.7,1.5,1.4,2.3,3.5,2.4,4.9,-1.0,-1.2,-0.1,-2.6,2.7,3.3,4.1,5.2,5.3,4.2,3.6,2.8,2.3,1.8,1.7,1.6,1.8,3.0,3.1,3.0,3.0,2.8,3.4,4.1,4.4,3.5,3.2,2.8,2.1,12.3,6.9,3.7,14.5,-4.4,-1.5,-0.4,-12.8,-5.6,-3.8,-1.4,3.4
,"    Price indexes (chain-type):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"        Gross domestic purchases",2.6,2.5,2.7,2.6,2.4,2.3,1.8,1.3,1.0,1.1,1.4,2.0,2.5,2.0,2.1,2.1,2.1,2.9,3.0,3.4,3.3,3.3,3.7,3.7,3.5,3.7,3.2,2.4,2.8,2.6,2.4,3.1,3.0,3.1,3.6,1.7,0.1,-0.7,-1.3,0.2,1.4,1.6,1.5,1.5,1.9,2.6,2.8,2.4,2.2,1.5,1.5,1.8,1.5,1.4,1.5,1.5,1.6,1.9,1.9,1.3,0.5,0.4,0.2,0.1,0.3,0.5,0.7,1.3,2.0,1.7,1.8,2.0,2.2,2.5,2.5,2.2,1.7,1.6,1.5,1.4,1.5,0.7,1.3,1.5,2.2,4.0,4.7,5.8,6.7,7.3,7.0,6.2,5.1
36,"        Gross domestic purchases excluding food and energy3",2.1,2.1,2.3,2.2,2.1,2.0,1.8,1.6,1.4,1.5,1.7,1.8,2.0,1.9,1.8,1.8,2.0,2.5,2.7,3.0,3.1,3.0,3.1,3.2,3.0,3.2,3.1,2.7,2.9,2.5,2.3,2.4,2.3,2.3,2.5,1.8,0.8,0.3,-0.2,0.4,1.1,1.3,1.4,1.3,1.5,1.9,2.1,1.9,2.0,1.6,1.6,1.8,1.6,1.5,1.6,1.7,1.8,1.9,1.9,1.6,1.2,1.1,0.9,0.7,0.7,0.9,1.1,1.5,1.9,1.7,1.8,1.9,2.1,2.4,2.4,2.3,1.9,1.7,1.6,1.4,1.6,1.0,1.4,1.7,2.2,3.7,4.3,5.3,6.0,6.3,6.2,5.7,5.1
37,"        Gross domestic product",2.0,2.2,2.4,2.5,2.5,2.5,2.2,2.0,1.6,1.3,1.4,1.7,2.0,1.9,2.1,2.1,2.2,2.7,2.8,3.0,3.0,2.9,3.3,3.3,3.2,3.4,3.1,2.7,3.0,2.8,2.5,2.6,2.0,1.7,2.1,1.8,1.4,0.8,0.1,0.3,0.5,1.2,1.5,1.7,1.9,2.2,2.3,1.9,2.0,1.7,1.8,2.1,1.9,1.7,1.7,1.8,1.8,2.1,2.0,1.5,1.1,1.1,0.9,0.8,0.8,0.9,0.9,1.5,2.0,1.7,1.9,2.0,2.2,2.6,2.5,2.3,2.0,1.8,1.7,1.6,1.7,0.8,1.3,1.6,2.4,4.4,5.0,6.1,6.9,7.6,7.1,6.4,5.3
38,"        Gross domestic product excluding food and energy1",2.2,2.3,2.5,2.4,2.3,2.2,1.9,1.8,1.6,1.6,1.8,1.9,2.1,1.9,1.9,1.8,2.0,2.6,2.8,3.1,3.2,3.2,3.3,3.4,3.3,3.4,3.2,2.8,3.0,2.6,2.5,2.6,2.3,2.1,2.3,1.5,0.6,0.4,-0.1,0.6,1.2,1.5,1.5,1.5,1.7,2.0,2.2,1.9,2.0,1.7,1.6,1.9,1.7,1.7,1.9,2.0,2.0,2.1,2.1,1.7,1.4,1.3,1.1,1.0,1.0,1.1,1.3,1.7,2.1,1.9,1.8,2.0,2.2,2.6,2.6,2.5,2.2,2.0,1.9,1.7,1.8,1.0,1.4,1.7,2.3,3.9,4.5,5.5,6.1,6.4,6.3,5.8,5.4
39,"        Personal consumption expenditures",2.6,2.5,2.6,2.5,2.4,2.4,1.8,1.3,0.8,1.0,1.5,1.9,2.5,1.9,2.0,2.0,2.0,2.6,2.4,2.8,2.6,2.6,3.2,3.1,3.1,3.3,2.9,2.0,2.4,2.3,2.2,3.4,3.3,3.4,3.9,1.2,-0.3,-0.8,-1.2,1.2,2.3,2.0,1.5,1.4,1.8,2.7,3.0,2.6,2.5,1.7,1.5,1.8,1.5,1.3,1.4,1.3,1.4,1.8,1.7,1.2,0.3,0.2,0.2,0.2,0.7,0.8,1.0,1.5,2.1,1.7,1.7,1.9,2.0,2.3,2.3,2.0,1.5,1.6,1.5,1.5,1.6,0.5,1.1,1.2,1.9,4.0,4.5,5.7,6.4,6.6,6.3,5.7,4.9
40,"        Personal consumption expenditures excluding food and energy3",1.7,1.7,1.8,1.9,2.0,2.0,1.8,1.8,1.4,1.6,1.9,1.8,1.8,1.6,1.5,1.6,1.8,2.0,1.9,2.0,2.2,2.1,2.2,2.3,2.1,2.5,2.6,2.4,2.5,2.1,2.0,2.3,2.1,2.1,2.2,1.4,0.9,0.8,0.7,1.4,1.7,1.6,1.4,1.1,1.2,1.5,1.8,1.8,2.0,1.9,1.7,1.8,1.6,1.4,1.5,1.6,1.5,1.7,1.7,1.5,1.4,1.3,1.2,1.1,1.4,1.5,1.7,1.8,1.9,1.7,1.5,1.7,1.9,2.0,2.1,2.0,1.7,1.7,1.8,1.6,1.7,0.9,1.3,1.4,1.7,3.5,3.9,4.7,5.3,5.0,4.9,4.8,4.7
41,"        Market-based PCE4",2.4,2.2,2.4,2.4,2.2,2.3,1.8,1.2,0.7,0.9,1.1,1.7,2.4,1.7,1.9,1.8,1.8,2.5,2.3,2.8,2.5,2.5,3.1,3.0,3.0,3.2,2.8,1.8,2.2,2.3,2.0,3.4,3.4,3.7,4.5,1.9,0.5,0.0,-0.6,1.5,2.1,1.6,1.2,1.1,1.7,2.7,3.0,2.8,2.5,1.7,1.5,1.5,1.3,0.9,1.0,0.8,0.9,1.4,1.2,0.7,-0.2,-0.1,-0.1,0.0,0.5,0.5,0.6,1.2,1.8,1.3,1.3,1.5,1.5,2.0,2.0,1.7,1.3,1.3,1.2,1.3,1.4,0.6,1.1,1.0,1.7,3.4,4.0,5.3,6.3,6.9,6.7,6.0,5.0
42,"        Market-based PCE excluding food and energy4",1.5,1.3,1.6,1.7,1.7,1.8,1.8,1.7,1.4,1.5,1.5,1.5,1.5,1.4,1.3,1.3,1.5,1.8,1.7,1.9,2.0,1.9,1.9,2.0,2.0,2.2,2.4,2.2,2.3,2.0,1.8,2.2,2.1,2.3,2.5,2.2,2.0,2.0,1.7,1.7,1.4,1.1,1.0,0.7,1.0,1.3,1.6,1.9,2.1,1.9,1.7,1.5,1.3,1.1,1.1,1.1,1.0,1.2,1.2,1.1,1.0,1.1,1.0,1.1,1.2,1.3,1.4,1.4,1.5,1.2,1.0,1.2,1.3,1.7,1.7,1.7,1.6,1.5,1.6,1.5,1.5,1.1,1.4,1.3,1.5,2.7,3.2,4.1,5.0,5.0,5.2,5.0,4.7

Legend/Footnotes
1. Final sales to domestic purchasers less government consumption expenditures and gross investment.
"2. The arithmetic average of gross domestic product and of gross domestic income, deflated by the implicit price deflator for GDP."
"3. Food excludes personal consumption expenditures for purchased meals and beverages, which are classified in food services."
"4. Market-based PCE is a supplemental measure that is based on household expenditures for which there are observable price measures. It excludes most imputed transactions (for example, financial services furnished without payment) and the final consumption expenditures of nonprofit institutions serving households."
"Note. Percent changes for real estimates are calculated from corresponding quantity indexes presented in NIPA tables 1.1.3, 1.2.3, 1.4.3, and 1.7.3. Percent changes in price estimates are calculated from corresponding price indexes presented in NIPA tables 1.1.4, 1.6.4, and 2.3.4."
